Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "pm-batt-ti.brd" as of: 7/16/2015 11:27:23 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,2.795,0.945,90
C2,Top,2.205,0.886,0
C3,Top,2.638,1.161,180
C4,Top,2.559,0.335,180
C5,Top,2.559,0.571,0
C6,Top,2.874,0.512,0
C7,Top,2.559,0.512,0
C8,Top,2.165,0.630,270
C9,Top,2.067,0.630,270
C10,Top,3.533,0.433,180
C11,Top,3.533,0.669,180
C12,Top,0.945,0.157,270
C13,Top,1.693,0.157,270
C14,Top,1.693,0.315,270
C15,Top,2.402,1.378,0
C16,Top,2.008,0.276,270
C17,Top,1.850,0.157,0
C18,Top,2.598,0.965,90
C19,Top,1.457,0.886,0
C20,Top,1.457,0.787,0
C21,Top,0.531,1.240,180
C22,Top,0.531,0.787,180
C23,Top,1.457,1.358,0
C24,Top,1.457,1.083,0
C25,Top,0.571,0.591,180
C26,Top,0.571,0.492,180
C27,Top,0.846,1.398,180
D1,Top,3.504,0.906,90
D2,Top,2.953,0.709,90
J2,Bottom,2.165,0.866,0
L1,Top,2.756,0.709,270
L2,Top,3.533,0.551,180
L3,Top,0.965,1.211,0
Q1,Top,3.701,1.417,270
Q2,Top,2.677,1.417,90
Q3,Top,2.126,1.417,270
Q4,Top,4.055,0.866,180
R1,Top,2.283,0.433,180
R2,Top,2.638,1.083,0
R3,Top,3.563,1.063,0
R4,Top,3.406,1.063,0
R5,Top,2.244,0.787,90
R6,Top,2.185,0.787,90
R7,Top,2.559,0.433,0
R8,Top,2.264,1.024,0
R9,Top,2.402,1.024,0
R10,Top,1.575,0.236,0
R11,Top,1.575,0.354,0
R12,Top,1.850,0.413,0
R13,Top,1.575,0.118,0
R14,Top,2.283,0.354,0
R15,Top,3.071,1.181,90
R16,Top,3.307,1.181,90
R17,Top,2.402,1.457,0
R18,Top,1.969,1.142,0
R19,Top,1.299,0.197,90
R20,Top,1.201,0.197,270
R21,Top,1.043,0.118,90
R22,Top,1.378,0.591,90
R23,Top,0.984,1.398,0
R24,Top,1.496,0.591,90
SJ1,Top,1.614,0.531,270
U1,Top,1.850,0.276,0
U2,Top,2.480,0.787,180
U3,Top,1.024,0.630,0
